id;name;typ;traeger;ort;kanton;region;datum_von;datum_bis;datum_status;turnus;publikum;url;abrufdatum;beleg;deadline_aktion;deadline_typ;kosten;zugang;alter_max;wohnsitz;notiz
2026-10_litz-stans;lit.z Literaturhaus Zentralschweiz;Reihe;lit.z Literaturhaus Zentralschweiz, Alter Postplatz 3, Stans;Stans;NW;DCH;2026-10-00;2027-12-00;erwartet;laufend;Breitenpublikum+Schreibende;https://www.lit-z.ch/;2026-09-08;Saisonauftakt am 04.09.2026 mit Rita Clara Furger (Orcagesänge aus Uri);OFFEN;Programmeingabe;OFFEN;;;;"Programmseite hinter Cookie-Banner nicht auslesbar, Einzeltermine ab Oktober deshalb nicht belegt; Saisonstruktur (Auftakt September) belegt ganzjährigen Betrieb; Reihe Zentralschweizer Literaturzirkel läuft Februar bis Mai"
2026-10_ads-termine-portal;A*dS Termine - Terminübersicht Literaturbetrieb Schweiz;Reihe;Autorinnen und Autoren der Schweiz A*dS;Zürich;CH;national;2026-10-01;2027-12-31;bestaetigt;laufend;Schreibende+Branche;https://www.a-d-s.ch/termine/;2026-09-08;16.-18. Oktober: Literaturtage Zofingen ... 6.-7. Februar 2027: 20. Bieler Gespräche;OFFEN;OFFEN;OFFEN;;;;KALENDERPORTAL für A1 bis A5 - listet Festivals Messen und Tagungen 2026/27 kompakt. Keine Eingabemöglichkeit erkennbar - Redaktion durch den Verband. Newsletter unter eepurl.com/DZsSThPTgj
2026-10_schweizer-literaturgesellschaft-manuskript;Kostenlose Manuskriptprüfung Schweizer Literaturgesellschaft;Ausschreibung;Schweizer Literaturgesellschaft Zug;Zug;ZG;DCH;2026-10-01;2027-12-31;bestaetigt;laufend;Schreibende;https://literaturgesellschaft.ch/buch-veroeffentlichen/;2026-09-08;Senden Sie uns Ihr Manuskript zur kostenlosen Prüfung! Sie dauert nur etwa 14 Tage;KEINE;KEINE;0 Prüfung gratis - Gutachten CHF 149 bis 349;offen;;;NEU - in der SWOT nicht enthalten. Kein Kursanbieter sondern ein Zuschussverlag. Konkurriert nicht um den Weg sondern um das Versprechen am Ende (Veröffentlichung) und ist damit ein Einwand den Interessierte mitbringen werden. [Zugang: Fuer Neu- und Bestandsautoren. Personen unter 18 bitte ueber die Eltern einsenden]
2026-10_kulturpool-basel;Kulturpool - Werbeplattform für Kulturveranstaltende;Reihe;Synventis GmbH / ProgrammZeitung Verlags AG;Basel;BS;DCH;2026-10-01;2027-12-31;bestaetigt;laufend;Breitenpublikum;https://www.proz.online/download/Content_attachments/FileBaseDoc/PROZ-Mediadaten.pdf;2026-09-08;DER KULTURPOOL erreicht 524530 kulturinteressierte Personen (PROZ Mediadaten 2026);OFFEN;OFFEN;OFFEN - Konditionen nur im Mediadaten-PDF;;;;KALENDERPORTAL mit Verbundreichweite. Betrieben aus dem gleichen Haus wie die PROZ. Die Reichweitenzahl steht in den PROZ-Mediadaten 2026 - das Mediadaten-PDF des Kulturpools selbst war am 08.09.2026 nicht als Text abrufbar. Die Reichweitenzahl steht in den PROZ-Mediadaten 2026 (dort verifiziert), nicht auf kulturpool.com/Mediadaten - jene Seite verlinkt das PDF nur
2026-10_literaturschweiz-literaturlandschaft;LiteraturSchweiz LiteraturLandschaft - Verzeichnis der Akteurinnen;Reihe;Verein LiteraturSchweiz (c/o A*dS);Zürich;CH;national;2026-10-01;2027-12-31;bestaetigt;laufend;Branche+Schreibende;https://www.literaturschweiz.ch/literaturlandschaft;2026-09-08;Entdecken Sie wichtige institutionelle Akteur*innen die Mitglied bei LiteraturSchweiz sind;OFFEN;OFFEN;OFFEN;;;;PORTAL. Nachfolger des eingestellten werliestwo.ch. Filterbar nach Archive Verbände Stiftungen Veranstalter Medien. Laut Seite kommen ab Sommer 2026 auch Nicht-Mitglieder dazu - der Salon der Kuenste kann sich also eintragen lassen. Frist nicht genannt
2026-10_srf-literaturclub-audio;Literaturclub Audioformate und Podcast Interview;Reihe;Schweizer Radio und Fernsehen SRF;Zürich;CH;national;2026-10-01;2027-12-31;bestaetigt;laufend;Breitenpublikum;https://medien.srf.ch/-/srf-literatur-neuerungen-im-literaturportfolio;2026-09-08;Im Zwei-Wochen-Rhythmus unterhält sich eine Autorin mit einem Mitglied des multimedialen SRF-Literaturteams;OFFEN;OFFEN;0;;;;Seit 2026 bündelt SRF alles unter der Marke Literaturclub: Podcast Literaturclub Interview zweiwöchentlich - dazu Dienstag 20 Uhr Radio SRF 1 mit Buchtipps (2x monatlich) Bestenliste (monatlich) und Kinder-/Jugendbücher. Angebotsverantwortlicher Markus Gasser
2026-10_guidle-solothurn-veranstaltungserfassung;Veranstaltungserfassung Kanton Solothurn Tourismus über guidle;Reihe;Kanton Solothurn Tourismus / Guidle AG;Solothurn;SO;DCH;2026-10-01;2027-12-31;bestaetigt;laufend;Breitenpublikum;https://kantonsolothurntourismus.ch/veranstaltung-erfassen/;2026-09-08;5 Veranstaltungen pro Jahr können ohne eine Guidle Medien-Präsenz erfasst werden;KEINE;Programmeingabe;0 bis 5 Veranstaltungen pro Jahr;;;;KALENDERPORTAL. Ein Eintrag erscheint automatisch im Kalender von Kanton Solothurn Tourismus und auf guidle.com - dazu Übersichten auf solothurn-city.ch oltentourismus.ch und jurasonnenseite.ch. Für die Olten-Termine des Schreibjahrs der billigste Reichweitenkanal. Keine Frist genannt
2026-10_viceversa-zeitschrift;Viceversa - Schweizer Zeitschrift für literarischen Austausch;Reihe;Verein LiteraturSchweiz / Viceversa;Zürich;CH;national;2026-10-01;2027-12-31;bestaetigt;jaehrlich;Fachpublikum+Schreibende;https://www.literaturschweiz.ch/viceversa;2026-09-08;Stimmen aus dem ganzen Land im Original und in Übersetzung - Abo ohne Mitgliedschaft CHF 25.-/Jahr;OFFEN;OFFEN;Abo CHF 25 - Mitgliedschaft CHF 50 Person / CHF 120 Institution;;;;Kein Redaktionsschluss und keine Einreichmöglichkeit publiziert - Texte offenbar auf Einladung. Die Institutionsmitgliedschaft CHF 120 ist der Zugang zum Verein LiteraturSchweiz und damit zum Verzeichnis
2026-10_eventfrog-lesungen;eventfrog Lesungen Schweiz;Reihe;Eventfrog AG;Bern;CH;national;2026-10-01;2027-12-31;bestaetigt;laufend;Breitenpublikum;https://eventfrog.ch/de/events/ch/lesungen.html;2026-09-08;Erfasse deinen Event schnell & einfach - Event eintragen;KEINE;Programmeingabe;OFFEN Grundeintrag gratis Ticketing kostenpflichtig;;;;KALENDERPORTAL mit Selbsteintrag und Ticketing. Rubrik Lesungen dicht belegt. Für A1 bis A4 als Nachziehquelle brauchbar - die Einträge sind allerdings von Veranstaltern selbst erfasst und nicht redaktionell geprüft
2026-10_sbvv-wandel-buchhandel;Dem Wandel im Buchhandel begegnen (SBVV-Weiterbildung);Kurs;Schweizer Buchhandels- und Verlags-Verband SBVV;Zuerich;ZH;DCH;2026-10-02;2026-10-02;bestaetigt;einmalig;Branche;https://www.sbvv.ch/kurs/990/3/;2026-09-08;"Freitag, 2. Oktober 2026 von 9:15 - 17:00 Uhr; Anmeldeschluss: 24.09.2026";2026-09-24;Einreichfrist;CHF 320 Mitglieder / CHF 370 Nichtmitglieder;;;;Leitung Sylvie Mueller. SBVV-Geschaeftsstelle Limmatstrasse 107. Fuer Patrick als Kontaktflaeche zu Buchhaendler:innen, nicht als Inhalt
2026-10_kornhausbibliotheken-bern;Kornhausbibliotheken Bern;Reihe;Kornhausbibliotheken Bern;Bern;BE;DCH;2026-10-05;2027-12-00;bestaetigt;laufend;Breitenpublikum;https://www.kob.ch/agenda/;2026-09-08;ComicMyLife: Comic Workshops mit Simon Kiener, Kornhausbibliothek, 5. Oktober 2026;OFFEN;Programmeingabe;OFFEN;;;;"Grösstes Netz öffentlicher Bibliotheken der Deutschschweiz, 23 Bibliotheken im Verbund; Agenda mit Lesungen, Leseklubs, Erzählnacht — eine Programmstelle bedient viele Standorte"
2026-10_lit-literaturhaus-graubuenden;LIT – Das Literaturhaus Graubünden;Reihe;Literaturhaus Graubünden / Chasa da Litteratura dal Grischun;Chur;GR;DCH;2026-10-05;2026-11-03;bestaetigt;laufend;Breitenpublikum+Schreibende;https://lithaus.gr/;2026-09-08;"5. Oktober 2026: Buchpremiere Gion Mathias Cavelty; 20. Oktober 2026: Lesekreis";OFFEN;Programmeingabe;OFFEN;;;;"Dreisprachiges Haus (Deutsch, Romanisch, Italienisch), bespielt auch Orte ausserhalb Chur wie Valposchiavo und Laax; Programmheft wird per Post verschickt"
2026-10_literaturhaus-liechtenstein;Literaturhaus Liechtenstein;Reihe;Literaturhaus Liechtenstein, Poststrasse 27, Schaan;Schaan;FL;DCH;2026-10-05;2026-11-28;bestaetigt;laufend;Breitenpublikum+Schreibende;https://www.literaturhaus.li/?page=1;2026-09-08;"Shared Reading: Mo, 05. Okt, 19 Uhr; Klassikerlesung: So, 15. Nov, 11 Uhr";OFFEN;Programmeingabe;OFFEN;;;;"Fürstentum Liechtenstein, Kantonskürzel FL gesetzt weil kein CH-Kanton; Grenzfall laut Quellenraster ausdrücklich aufzunehmen"
2026-10_wyborada-schreibgruppe;Literaturhaus Schreibgruppe (Wyborada);Reihe;Verein Wyborada;St. Gallen;SG;DCH;2026-10-05;2027-02-01;bestaetigt;monatlich;Schreibende;https://www.wyborada.ch/;2026-09-08;Schreibgruppe, Leitung Ariane Novel, Montag 18–20 Uhr, 5.10., 2.11., 30.11.2026;OFFEN;OFFEN;CHF 120 Mitglieder / 140 Nichtmitglieder für vier Termine;;;;"Grenzfall zu A6 (Kursangebot), hier eingetragen weil Teil des Hausprogramms; Termine 4.1. und 1.2.2027 bereits gesetzt — direkte Nachbar- und Konkurrenzstruktur zum Schreibjahr"
2026-10_collegium-generale-bern;Literarische Lesungen des Collegium generale;Reihe;Universität Bern, Collegium generale;Bern;BE;DCH;2026-10-06;2026-12-08;bestaetigt;jaehrlich;Breitenpublikum+Fachpublikum;https://www.unibe.ch/universitaet/universitaet_fuer_alle/collegium_generale/literarische_lesungen/index_ger.html;2026-09-08;"6. Oktober 2026, Tonio Schachinger, 18.15 Uhr, Hörsaal 220; ohne Voranmeldung";OFFEN;Programmeingabe;0;;;;"Vier Termine im Herbstsemester unter einem Jahresthema, 2026 «Neues aus Österreich»; Programm 2027 noch nicht publiziert, Themensetzung erfolgt jährlich im Voraus"
2026-10_srf-literaturclub-tv;Literaturclub SRF 1;Reihe;Schweizer Radio und Fernsehen SRF;Zürich;CH;national;2026-10-06;2026-10-06;bestaetigt;monatlich;Breitenpublikum;https://www.fernsehserien.de/literaturclub/sendetermine/srf1;2026-09-08;Di. 06.10. 22:25-23:45 SRF 1 Folge 7/2026;OFFEN;OFFEN;0;;;;Der Literaturclub läuft neunmal jährlich um 22:25 Uhr auf SRF 1 (Quelle SRF Medienportal). Reichweitenstärkstes Literaturformat der Deutschschweiz. Die Sendetermine 2027 sind noch nicht publiziert - fernsehserien.de listet ab 06.10.2026 ohne Anspruch auf Vollständigkeit
2026-10_frankfurter-buchmesse;Frankfurter Buchmesse 2026;Messe;Frankfurter Buchmesse GmbH / SBVV (Gemeinschaftsstand);Frankfurt am Main;DE;national;2026-10-07;2026-10-11;bestaetigt;jaehrlich;Branche+Fachpublikum+Breitenpublikum;https://www.sbvv.ch/omsStart/202/8/Frankfurter%20Buchmesse;2026-09-08;"Anmeldeschluss: 27. April 2026; Messedaten 7.-11. Oktober 2026; Halle 3.0, Stand F97";2026-04-27;Standanmeldung;CHF 125 Einzeltitel, CHF 545 Paket XS, CHF 2030 Paket S (3 qm), CHF 4100 Paket M (6 qm), Mitgliederpreise;;;;Standanmeldung 2026 abgelaufen (27.04.2026), Buecher-Lieferfrist war 10.09.2026. Co-Working ab CHF 180 Halbtag, Besprechungstisch CHF 50/Std. Ehrengast Tschechien
2026-10_netzwerk-erzaehlcafe;Netzwerk Erzählcafé Schweiz;Reihe;Netzwerk Erzählcafé (Verein);Zürich;CH;national;2026-10-08;2027-12-00;bestaetigt;laufend;Breitenpublikum;https://netzwerk-erzaehlcafe.ch/agenda/;2026-09-08;8. Oktober 2026, Luzern, 14:30-16:30: Beschwingtes Erwachsen werden;OFFEN;OFFEN;meist kostenlos;;;;"Landesweite Agenda mit dutzenden Terminen pro Monat in allen Sprachregionen; Publikum ist Lebensmitte und älter, Menschen mit einer Geschichte — Zielgruppen-Deckung mit dem Schreibjahr hoch"
2026-10_casa-della-letteratura-lugano;Casa della Letteratura per la Svizzera italiana;Reihe;Casa della Letteratura per la Svizzera italiana;Lugano;TI;ICH;2026-10-10;2026-12-05;bestaetigt;laufend;Breitenpublikum+Fachpublikum+Schreibende;https://www.casadellaletteratura.ch/;2026-09-08;"21 Nov 2026, 16:30: Omaggio a Adelheid Duvanel; 10 Ott 2026: Editoria taglia & cuci + reading poetico";OFFEN;Programmeingabe;OFFEN;;;;Literaturhaus der italienischen Schweiz mit Lesungen, Uebersetzungskurs und Schreibresidenzen fuer den audiovisuellen Sektor. Die Hommage an Adelheid Duvanel zeigt die Anschlussfaehigkeit an deutschschweizer Stoffe
2026-10_literaturhaus-zuerich;Literaturhaus Zürich;Reihe;Literaturhaus Zürich (Verein Museumsgesellschaft);Zürich;ZH;DCH;2026-10-12;2027-05-23;bestaetigt;laufend;Breitenpublikum+Fachpublikum;https://literaturhaus.ch/programm/;2026-09-08;Mo 12.10., 20:00 Uhr: Doris Dörrie – Schreiben, Leben, Sein;;;OFFEN;;;;"Ganzjähriges Programm, mehrere Termine pro Woche; programmverantwortliche Person auf der Website nicht genannt Postkarte muss rund vier Wochen vor dem Termin vor Ort liegen, der Druck davor - Frist aus dem Veranstaltungsdatum gerechnet, nicht publiziert"
2026-10_aks-atelier-x;Recherchestipendium Atelier X;Ausschreibung;Albert Koechlin Stiftung;Luzern;LU;DCH;2026-10-12;2026-10-12;bestaetigt;jaehrlich;Schreibende;https://www.aks-stiftung.ch/AtelierX;2026-09-08;Die Eingabefrist der aktuellen Ausschreibung endet am Montag, 12. Oktober 2026, 12.00 Uhr;2026-10-12;Einreichfrist;0;publikation;;Innerschweiz LU NW OW UR SZ seit 1.1.2024;für Teilnehmende — Recherchestipendium für Innerschweizer Kunstschaffende aller Sparten, nicht an ein bestehendes Atelier gebunden, ermöglicht eine Schaffenszeit ausserhalb des Alltags. Keine Altersgrenze genannt [Zugang: Eingabeberechtigt sind professionelle Kunst- und Kulturschaffende aller Sparten, die seit ]
2026-10_erzaehlcafe-muenstergasse-bern;Erzählcafé Bibliothek Münstergasse;Reihe;Universitätsbibliothek Bern, mit Kornhausbibliotheken Bern;Bern;BE;DCH;2026-10-13;2027-01-12;bestaetigt;monatlich;Breitenpublikum;https://www.ub.unibe.ch/teilbibliotheken/bibliothek_muenstergasse/erzaehlcaf/index_ger.html;2026-09-08;Vorbilder, Dienstag, 13. Oktober 2026, 16.30–18.00, Quartierbibliothek Bümpliz;;;OFFEN;;;;"Termin «Zeit» am 12. Januar 2027 bereits gesetzt; Format des Lebensgeschichten-Erzählens ist inhaltlich das nächste Nachbarformat zum Schreibjahr-Publikum Postkarte muss rund vier Wochen vor dem Termin vor Ort liegen, der Druck davor - Frist aus dem Veranstaltungsdatum gerechnet, nicht publiziert"
2026-10_literaturhaus-basel;Literaturhaus Basel;Reihe;Literaturhaus Basel;Basel;BS;DCH;2026-10-13;2026-10-13;bestaetigt;laufend;Breitenpublikum+Fachpublikum;https://www.literaturhaus-basel.ch/;2026-09-08;SAŠA STANIŠIĆ (13.10., 19.00 Uhr);;;CHF 20 / 15 ermässigt Eintritt;;;;"Ganzjähriges Programm mit Reihen Sofalesung, Geschichten am Sonntag, Schreibcafé; Vorverkauf über Bider & Tanner Postkarte muss rund vier Wochen vor dem Termin vor Ort liegen, der Druck davor - Frist aus dem Veranstaltungsdatum gerechnet, nicht publiziert"
2026-10_schreibcouch-vhs-thun-kreativ;Kreatives Schreiben (Kurs 26-02-3300);Kurs;Schreibcouch Stefanie Carpintero / VHS Thun;Thun;BE;DCH;2026-10-14;2026-10-28;bestaetigt;einmalig;Schreibende;https://schreibcouch.ch/schreibkurse/;2026-09-08;Kreatives Schreiben (Kurs 26-02-3300) 14.-28.10.2026 mittwochs 17.30-19.30 Uhr 150.- CHF;KEINE;KEINE;CHF 150;;;;In der SWOT nur als nicht belegbar vermerkt (keine Preise publiziert). Preise stehen jetzt auf der Kursseite - damit ist die SWOT-Lücke geschlossen
2026-10_literaturgesellschaft-luzern;LiteraturGesellschaft Luzern;Reihe;LiteraturGesellschaft Luzern;Luzern;LU;DCH;2026-10-14;2026-12-02;bestaetigt;laufend;Breitenpublikum;https://www.literaturgesellschaft-lu.ch/programm;2026-09-08;Mittwoch, 14. Oktober 2026, 19.30 Uhr, Barbara Honigmann: Mischka;;;CHF 25, Mitglieder CHF 15, Studierende CHF 10;;;;"Lesungen mit Gesprächsteil im Hotel Schweizerhof, Moderationen von Bettina Spoerri, Ruth Gantert, Sibylle Birrer; Dezembertermin in Kooperation mit lit.z Postkarte muss rund vier Wochen vor dem Termin vor Ort liegen, der Druck davor - Frist aus dem Veranstaltungsdatum gerechnet, nicht publiziert"
2026-10_lh-zuerich-unruhe-ueber-mittag;Unruhe über Mittag (Literaturhaus Zürich);Reihe;Literaturhaus Zürich;Zürich;ZH;DCH;2026-10-15;2026-10-15;bestaetigt;laufend;Breitenpublikum;https://literaturhaus.ch/programm/;2026-09-08;Do 15.10., 12:15 Uhr: Unruhe über Mittag: Archiv der vollen Bäuche;;;OFFEN;;;;Mittagsformat im Debattierzimmer, kurzes Gesprächsformat zu Gegenwartsthemen, niederschwelliger Andockpunkt als der Abendbetrieb Postkarte muss rund vier Wochen vor dem Termin vor Ort liegen, der Druck davor - Frist aus dem Veranstaltungsdatum gerechnet, nicht publiziert
2026-10_literaturtage-zofingen;Literaturtage Zofingen 2026;Festival;Literaturtage Zofingen (Verein);Zofingen;AG;DCH;2026-10-16;2026-10-18;bestaetigt;jaehrlich;Breitenpublikum;https://literaturtagezofingen.ch/;2026-09-08;16. bis 18. Oktober 2026;;;OFFEN;;;;Programm folgt jeweils dem Gastland der Frankfurter Buchmesse - 2026 Tschechien. Kleines Festival im Kulturhaus West - fuer Patrick zugaenglicher als die grossen. Postkarte muss rund vier Wochen vor dem Termin vor Ort liegen, der Druck davor - Frist aus dem Veranstaltungsdatum gerechnet, nicht publiziert
2026-10_sofalesungen-ch;Sofalesungen.ch;Reihe;Verein Sofalesungen, angeregt vom Literaturhaus Basel;Basel;BS;DCH;2026-10-18;2026-10-18;bestaetigt;laufend;Breitenpublikum+Schreibende;https://www.literaturhaus-basel.ch/de/projekte/sofalesungench/;2026-09-08;18.10.: Sofalesung mit Julia Trachsel (Riehen, 17:00);OFFEN;OFFEN;OFFEN;;;;"Lesungen in privaten Räumen, Fokus auf Prosadebüts; schweizweit in Kooperation mit mehreren Literaturhäusern, Förderfonds Engagement Migros — Debüt-Fokus passt exakt zum Schreibjahr"
2026-10_castelli-di-carta;Castelli di carta – Concorso letterario;Preis;Biblioteca cantonale di Bellinzona;Bellinzona;TI;ICH;2026-10-20;2026-10-20;bestaetigt;jaehrlich;Schreibende+Breitenpublikum;https://www.castellidicarta.ch/;2026-09-08;appuntamento a martedi 20 ottobre 2026, ore 18:30, presso l Auditorium di BancaStato, Bellinzona;KEINE;KEINE;0;offen;;;"Kurzgeschichten-Wettbewerb (max. 1800 Zeichen), Thema 2026 Con l acquolina in bocca, Einreichfrist 4.5.2026 abgelaufen. Ausschreibung 2027 im Fruehjahr zu erwarten; italienischsprachig. [Zugang: La partecipazione e gratuita e aperta a tutti. Categoria Adulti per tutti gli altri. Elabo]"
2026-10_zuerich-liest;Zuerich liest 26;Festival;Verein Zuerich liest;Zuerich;ZH;DCH;2026-10-20;2026-10-25;bestaetigt;jaehrlich;Breitenpublikum+Branche;https://www.zuerich-liest.ch/zhl/veranstalten;2026-09-08;Zuerich liest 26: 20. bis 25. Oktober 2026 Eroeffnung am 20. Oktober 2026;2026-06-30;Programmeingabe;CHF 850 Werbemittelbeitrag Nichtmitglieder fuer max. zwei Veranstaltungen;;;;Anmeldeschluss war Ende Juni 2026 - fuer 2026 zu spaet. Eingabe ueber Eventportal events.zuerich-liest.ch mit personalisiertem Zugang. Auch Winterthur und Umgebung bespielt
2026-10_sbvv-zukuenfte-des-erzaehlens;Die Zukuenfte des Erzaehlens im Jahr 2056 (SBVV-Weiterbildung);Kurs;Schweizer Buchhandels- und Verlags-Verband SBVV;Zuerich;ZH;DCH;2026-10-21;2026-10-21;bestaetigt;einmalig;Branche;https://www.sbvv.ch/kurs/975/3/;2026-09-08;"Mittwoch, 21. Oktober 2026 von 9:15 - 17:00 Uhr; Anmeldeschluss 14.10.2026";2026-10-14;Einreichfrist;CHF 270 Mitglieder / CHF 320 Nichtmitglieder;;;;Leitung Michele Minelli (Autorin, eidg. dipl. Ausbildungsleiterin) - inhaltlich die naechste Verwandte zum Schreibjahr im SBVV-Programm
